"","year","Temp","Prec","Humi","bloom_doy"
"1",1945,45.9270229468599,0,63.982684178744,79
"2",1947,42.6426177536232,0,61.6891606280193,102
"3",1948,42.8850760570128,0,69.025107797341,88
"4",1949,46.7400211352657,0.109333333333333,38.120818236715,88
"5",1950,44.7656702898551,0.0874166666666667,61.336277173913,99
"6",1951,44.3216847826087,0.09075,63.7209118357488,96
"7",1952,45.3176877470356,0.132148760330579,65.0723439932926,100
"8",1953,46.3972826086957,0.155583333333333,62.823943236715,86
"9",1954,46.015008783487,0.0826666666666667,64.1539964866052,96
"10",1955,44.8205012077295,0.0809166666666667,64.095018115942,92
"11",1956,43.2405377889568,0.0859504132231405,64.3939393939394,97
"12",1957,44.6398852657005,0.086,66.3611413043478,98
"13",1958,41.0090579710145,0.145166666666667,63.4335597826087,108
"14",1959,44.4354166666667,0.08275,59.9074124396135,96
"15",1960,43.3504910767757,0.0927272727272727,58.9954635285663,105
"16",1961,42.4474788647343,0.13575,60.830615942029,92
"17",1962,42.4865640096618,0.09975,61.2541666666667,97
"18",1963,42.2882095410628,0.0851666666666667,56.802279589372,93
"19",1964,44.1524134626901,0.117851239669422,56.9446191160618,102
"20",1965,41.5482638888889,0.0886666666666667,61.2149758454106,105
"21",1966,42.8199194746125,0.0704444444444444,56.4270616177195,95
"22",1967,44.9058784588905,0.0448192771084337,56.4433999735205,96
"23",1968,44.5239991381168,0.0329411764705882,49.3664490411549,90
"24",1969,44.7578955597248,0.020609756097561,46.7517979987492,99
"25",1970,40.2499698067633,0.100833333333333,60.4703049516908,106
"26",1971,41.0880887681159,0.0945833333333333,55.8524003623188,98
"27",1972,42.8505809078932,0.115537190082645,61.028147083483,102
"28",1973,42.3638023470679,0.0956666666666667,56.8791186343355,101
"29",1974,44.0720272096308,0.0796666666666667,52.4274833716186,93
"30",1975,42.3760365080434,0.09975,54.4399872693487,93
"31",1976,44.9117962332215,0.0702479338842975,50.1161283433593,83
"32",1977,41.2448399420604,0.0419166666666667,52.6372246276961,85
"33",1978,37.2649644909811,0.0858333333333333,46.9143665128137,102
"34",1979,39.1808975935303,0.1355,55.7688529902385,92
"35",1980,40.3460395951722,0.0982644628099174,57.029875880918,97
"36",1981,43.3593678127564,0.0589166666666667,53.6821863429083,93
"37",1982,36.918273354682,0.0919166666666667,52.5611549287253,97
"38",1983,39.985598103333,0.136583333333333,53.0641943724642,97
"39",1984,38.535929658619,0.109669421487603,55.0574951770486,94
"40",1985,41.560181885069,0.0581666666666667,51.90208110103,97
"41",1986,39.3755630622409,0.0694166666666667,55.7958180212461,92
"42",1987,39.5038814835515,0.0809166666666667,55.9317957234638,87
"43",1988,38.8332422375919,0.0789256198347107,56.7476817452198,91
"44",1989,39.6352674179687,0.105416666666667,57.2770159130476,88
"45",1990,44.4167434463944,0.0894166666666667,58.3965711694378,74
"46",1991,42.2983988063255,0.078,56.7568329782771,88
"47",1992,39.0208149720872,0.0893388429752066,56.8183149326894,98
"48",1993,37.2677147770665,0.130083333333333,55.9123224351595,101
"49",1994,37.7022196767943,0.15425,57.0938658278667,95
"50",1995,40.131585321013,0.0750833333333333,53.5739264969109,92
"51",1996,37.4192859265033,0.113801652892562,54.9456141584361,95
"52",1997,45.615320190058,0,60.5070836138922,85
"53",1998,47.5027213075046,0.269,67.8769754779094,86
"54",1999,44.8778304952372,0.22775,63.1817780129114,95
"55",2000,45.5540470523479,0.145652173913043,61.5791105448999,77
"56",2001,44.0674849349805,0.125666666666667,65.949657166706,96
"57",2002,47.7896369075238,0.113916666666667,61.0979731326316,92
"58",2003,41.203559981932,0.2255,68.6471645030368,92
"59",2004,43.3717746966821,0.129752066115702,58.8142480307316,91
"60",2005,43.5005097563023,0.254833333333333,61.5576450164563,99
"61",2006,47.1374227438567,0.121333333333333,58.5146849617908,89
"62",2007,43.2841372909379,0.18725,59.7141686163504,91
"63",2008,46.9381242539398,0.214462809917355,58.678830709843,86
"64",2009,42.9718252103126,0.141916666666667,58.627239705689,91
"65",2010,45.2891784989439,0.135,57.3826224371244,90
"66",2011,44.3787631791814,0.200833333333333,62.5705793858132,88
"67",2012,49.6405147653285,0.11900826446281,58.4706220852005,80
"68",2013,44.9816269629013,0.197333333333333,58.1490382748648,99
"69",2014,42.206620589444,0.368333333333333,56.4136199107467,100
"70",2015,42.6003423830303,0.213833333333333,54.878481353642,100
"71",2016,46.0659484698884,0.208760330578512,60.731446039411,85
"72",2017,49.5979518253529,0.18375,61.7920967568061,84
"73",2018,44.1152253731819,0.2265,61.1214538810682,95
"74",2019,46.644045685803,0.239,59.0583129476057,91
"75",2020,48.2992885806543,0.255537190082645,63.9381510889236,80
"76",2021,46.0898578185793,0.209916666666667,60.7796822147735,87
"77",2022,45.705524341139,0.215416666666667,57.2274936189518,80
