"","bloom.year","bloom.bloom_doy","cum_heat"
"1",1894,106,NA
"2",1895,107,NA
"3",1896,107,NA
"4",1897,86,NA
"5",1898,106,NA
"6",1899,93,NA
"7",1900,114,NA
"8",1901,113,NA
"9",1902,102,NA
"10",1903,86,NA
"11",1904,104,NA
"12",1905,102,NA
"13",1906,103,NA
"14",1907,105,NA
"15",1908,119,NA
"16",1909,109,NA
"17",1910,105,NA
"18",1911,107,NA
"19",1912,86,NA
"20",1913,90,NA
"21",1914,99,NA
"22",1915,117,NA
"23",1916,97,NA
"24",1917,124,NA
"25",1918,103,NA
"26",1919,112,NA
"27",1920,90,NA
"28",1921,92,NA
"29",1922,111,NA
"30",1923,98,NA
"31",1924,115,NA
"32",1925,104,NA
"33",1926,99,NA
"34",1927,108,NA
"35",1928,105,NA
"36",1929,122,NA
"37",1930,109,NA
"38",1931,116,NA
"39",1932,120,NA
"40",1933,112,NA
"41",1934,106,NA
"42",1935,106,NA
"43",1936,100,NA
"44",1937,101,NA
"45",1938,91,NA
"46",1939,105,NA
"47",1940,112,NA
"48",1941,116,NA
"49",1942,114,NA
"50",1943,102,NA
"51",1944,109,NA
"52",1945,92,NA
"53",1946,96,NA
"54",1947,107,NA
"55",1948,88,NA
"56",1949,107,NA
"57",1950,100,NA
"58",1951,108,NA
"59",1952,102,NA
"60",1953,96,NA
"61",1954,116,NA
"62",1955,116,NA
"63",1956,118,NA
"64",1957,84,NA
"65",1958,115,NA
"66",1959,92,NA
"67",1960,94,NA
"68",1961,79,NA
"69",1962,115,NA
"70",1963,114,NA
"71",1964,107,NA
"72",1965,102,NA
"73",1966,98,NA
"74",1967,94,NA
"75",1968,103,NA
"76",1969,113,NA
"77",1970,114,NA
"78",1971,107,NA
"79",1972,97,NA
"80",1973,119,NA
"81",1974,92,NA
"82",1975,108,NA
"83",1976,102,NA
"84",1977,80,NA
"85",1978,108,NA
"86",1979,105,NA
"87",1980,104,NA
"88",1981,92,NA
"89",1982,108,NA
"90",1983,101,NA
"91",1984,110,NA
"92",1985,106,NA
"93",1986,121,NA
"94",1987,112,NA
"95",1988,108,NA
"96",1989,87,NA
"97",1990,75,NA
"98",1991,94,NA
"99",1992,102,NA
"100",1993,101,NA
"101",1994,82,NA
"102",1995,93,NA
"103",1996,109,NA
"104",1997,81,3124.95248444592
"105",1998,90,3694.76696475082
"106",1999,94,3697.36313407314
"107",2000,92,4049.16560804006
"108",2001,89,3629.22228131332
"109",2002,77,3120.11654327874
"110",2003,92,3527.10539548316
"111",2004,92,4048.88431283117
"112",2005,95,3661.90978016017
"113",2006,111,4009.99297015055
"114",2007,94,4062.15370825898
"115",2008,89,3552.98326301741
"116",2009,100,3654.30508768151
"117",2010,98,3637.16215374735
"118",2011,90,3486.59666907677
"119",2012,93,3465.03524819052
"120",2013,107,3895.03442643662
"121",2014,84,3559.42209906318
"122",2015,101,4031.06066984148
"123",2016,97,4012.61550773408
"124",2017,85,3286.53605838635
"125",2018,98,3952.57721961991
"126",2019,86,3468.42023165058
"127",2020,77,3303.64868736963
"128",2021,87,3439.25468442419
